Area Code,Element Code,Item Code,Year Code,Year,Value
100,5419,27,1991,1991,26271
100,5419,27,1992,1992,26092
100,5419,27,1993,1993,28303
100,5419,27,1994,1994,28645
100,5419,27,1995,1995,26972
100,5419,27,1996,1996,28226
100,5419,27,1997,1997,28457
100,5419,27,1998,1998,28805
100,5419,27,1999,1999,29782
100,5419,27,2000,2000,28508
100,5419,27,2001,2001,31158
100,5419,27,2002,2002,26163
100,5419,27,2003,2003,31177
100,5419,27,2004,2004,29756
100,5419,27,2005,2005,31537
100,5419,27,2006,2006,31759
100,5419,27,2007,2007,32924
100,5419,27,2008,2008,32509
100,5419,27,2009,2009,32366
100,5419,27,2010,2010,33587
100,5419,27,2011,2011,35878
100,5419,27,2012,2012,36909
100,5419,27,2013,2013,36070
100,5419,27,2014,2014,35638
100,5419,27,2015,2015,36077
100,5419,27,2016,2016,36950
100,5419,83,1961,1961,4400
100,5419,83,1962,1962,5294
100,5419,83,1963,1963,5005
100,5419,83,1964,1964,5363
100,5419,83,1965,1965,4288
100,5419,83,1966,1966,5109
100,5419,83,1967,1967,5454
100,5419,83,1968,1968,5234
100,5419,83,1969,1969,5225
100,5419,83,1970,1970,4665
100,5419,83,1971,1971,4603
100,5419,83,1972,1972,4492
100,5419,83,1973,1973,5442
100,5419,83,1974,1974,6433
100,5419,83,1975,1975,5906
100,5419,83,1976,1976,6673
100,5419,83,1977,1977,7393
100,5419,83,1978,1978,7083
100,5419,83,1979,1979,6986
100,5419,83,1980,1980,6598
100,5419,83,1981,1981,7267
100,5419,83,1982,1982,6566
100,5419,83,1983,1983,7254
100,5419,83,1984,1984,7154
100,5419,83,1985,1985,6335
100,5419,83,1986,1986,5760
100,5419,83,1987,1987,7623
100,5419,83,1988,1988,6966
100,5419,83,1989,1989,8693
100,5419,83,1990,1990,8136
100,5419,83,1991,1991,6553
100,5419,83,1992,1992,9820
100,5419,83,1993,1993,8981
100,5419,83,1994,1994,7786
100,5419,83,1995,1995,8235
100,5419,83,1996,1996,9591
100,5419,83,1997,1997,6920
100,5419,83,1998,1998,8592
100,5419,83,1999,1999,8472
100,5419,83,2000,2000,7639
100,5419,83,2001,2001,7715
100,5419,83,2002,2002,7602
100,5419,83,2003,2003,7540
100,5419,83,2004,2004,7161
100,5419,83,2005,2005,7968
100,5419,83,2006,2006,8803
100,5419,83,2007,2007,8443
100,5419,83,2008,2008,10209
100,5419,83,2009,2009,9621
100,5419,83,2010,2010,8602
100,5419,83,2011,2011,9487
100,5419,83,2012,2012,9568
100,5419,83,2013,2013,8502
100,5419,83,2014,2014,9568
100,5419,83,2015,2015,8847
100,5419,83,2016,2016,7805
100,5419,236,1961,1961,4545
100,5419,236,1962,1962,4545
100,5419,236,1963,1963,4444
100,5419,236,1964,1964,4444
100,5419,236,1965,1965,4348
100,5419,236,1966,1966,4348
100,5419,236,1967,1967,4444
100,5419,236,1968,1968,4444
100,5419,236,1969,1969,4375
100,5419,236,1970,1970,4375
100,5419,236,1971,1971,4375
100,5419,236,1972,1972,8235
100,5419,236,1973,1973,8125
100,5419,236,1974,1974,7612
100,5419,236,1975,1975,9785
100,5419,236,1976,1976,9840
100,5419,236,1977,1977,9385
100,5419,236,1978,1978,9771
100,5419,236,1979,1979,5685
